base_addr=0x00002000 byte_count=1984
idx addr byte ascii
555 0x0000222b a6 .
556 0x0000222c cc .
557 0x0000222d 94 .
558 0x0000222e 9a .
559 0x0000222f 78 x
560 0x00002230 62 b
561 0x00002231 53 S
562 0x00002232 6e n
563 0x00002233 06 .
564 0x00002234 0e .
565 0x00002235 c9 .
566 0x00002236 19 .
567 0x00002237 20  
568 0x00002238 67 g
569 0x00002239 fa .
570 0x0000223a 80 .
571 0x0000223b bd .
572 0x0000223c d3 .
573 0x0000223d 05 .
574 0x0000223e f2 .
575 0x0000223f 78 x
576 0x00002240 a7 .
577 0x00002241 11 .
578 0x00002242 4c L
579 0x00002243 14 .
580 0x00002244 06 .
581 0x00002245 48 H
582 0x00002246 88 .
583 0x00002247 29 )
584 0x00002248 32 2
585 0x00002249 85 .
586 0x0000224a a6 .
587 0x0000224b d8 .
588 0x0000224c 94 .
589 0x0000224d 1b .
590 0x0000224e 82 .
591 0x0000224f 78 x
592 0x00002250 43 C
593 0x00002251 72 r
594 0x00002252 06 .
595 0x00002253 30 0
596 0x00002254 2f /
597 0x00002255 fd .
598 0x00002256 c0 .
599 0x00002257 9e .
600 0x00002258 b4 .
601 0x00002259 c0 .
602 0x0000225a dc .
603 0x0000225b 54 T
604 0x0000225c 10 .
605 0x0000225d 51 Q
606 0x0000225e 18 .
607 0x0000225f 78 x
608 0x00002260 20  
609 0x00002261 61 a
610 0x00002262 a6 .
611 0x00002263 d4 .
612 0x00002264 14 .
613 0x00002265 1b .
614 0x00002266 72 r
615 0x00002267 33 3
616 0x00002268 70 p
617 0x00002269 48 H
618 0x0000226a 0e .
619 0x0000226b 59 Y
620 0x0000226c a0 .
621 0x0000226d 2f /
622 0x0000226e 57 W
623 0x0000226f 78 x
624 0x00002270 a0 .
625 0x00002271 3f ?
626 0x00002272 37 7
627 0x00002273 40 @
628 0x00002274 37 7
629 0x00002275 82 .
630 0x00002276 88 .
631 0x00002277 02 .
632 0x00002278 01 .
633 0x00002279 09 .
634 0x0000227a 31 1
635 0x0000227b 84 .
636 0x0000227c 86 .
637 0x0000227d d4 .
638 0x0000227e 90 .
639 0x0000227f 78 x
640 0x00002280 1b .
641 0x00002281 82 .
642 0x00002282 43 C
643 0x00002283 72 r
644 0x00002284 46 F
645 0x00002285 1e .
646 0x00002286 b8 .
647 0x00002287 a9 .
648 0x00002288 04 .
649 0x00002289 b8 .
650 0x0000228a ae .
651 0x0000228b 2c ,
652 0x0000228c f0 .
653 0x0000228d 23 #
